名称,户型,面积,装修,楼层,朝向,售价,总价/万,详情
万豪月半山,2室2厅,41.58平米,精装修,中层/17层,南,99808元/平米,415,精装保养好 南向大两房 高楼层安静看南山 税费少
鸿荣源尚峰,2室2厅,68平米,精装修,高层/32层,南,55882元/平米,380,尚峰花园大两房 精装看山景
金山碧海,3室2厅,87.1平米,毛坯,中层/34层,南,48220元/平米,420,半山豪宅万科物业全新毛坯南向户型业主诚售
莲花二村,3室2厅,85平米,普通装修,高层/7层,南北,83882元/平米,713,小区好位置，安静格局实用，诚心出售
桃源居五区,7室3厅,223.63平米,精装修,高层/5层,东南,38009元/平米,850,精装三层复式 高使用率 满五年红本在手无税费
金地上塘道,3室2厅,89.28平米,精装修,低层/31层,南,57684元/平米,515,花园中间位置 满五 实用3房 随时看房 急卖
万象天成,2室1厅,209.08平米,精装修,高层/26层,南,30132元/平米,630,精装6房，三馆一城，龙城广场地铁旁 南北通透采光好
万科东方尊峪,2室2厅,88.64平米,精装修,中层/18层,南,60921元/平米,540,一台地 朝南 2房2厅 精装修 通风采光好
茂宝大厦,3室2厅,97.3平米,普通装修,中层/15层,南,30832元/平米,300,精装三房 南向 
港铁天颂,3室2厅,89平米,毛坯,高层/48层,南,55056元/平米,490,4号线龙华站 毛批大3房出售 买到就赚到
鼎太风华二期,2室2厅,72.3平米,精装修,中层/11层,南,80913元/平米,585,前海大社区，鼎太风华精装大两房业主诚意出售
璞岸,1室1厅,80.23平米,毛坯,高层/16层,南,26798元/平米,215,360°无遮挡景观房，采光好，看山景
万科清林径,3室2厅,85.72平米,精装修,高层/32层,南,35581元/平米,305,实用100平 南北通 大阳台 加复式阁楼 费用低
龙珠花园(龙岗),3室1厅,89.32平米,普通装修,中层/29层,北,35826元/平米,320,罗湖首站布吉站，交通便利小区三房急售
卓弘高尔夫雅苑,3室2厅,120.84平米,精装修,中层/31层,南,43032元/平米,520,豪装3房2厅121平米，赠送面积大，户型方正实用。
香山美墅云邸,4室2厅,178.07平米,毛坯,高层/46层,南,131971元/平米,2350,超高层四房随时看房，毛坯诚心放卖
中海塞纳时光,2室2厅,77.67平米,精装修,中层/20层,北,41200元/平米,320,大两房大客厅看花园安静价格可谈
桃源居十二区,2室1厅,56.49平米,精装修,中层/8层,南,46026元/平米,260,房子户型方正，满五首套，红本在手，税费少过户快！
东海花园一期,5室2厅,155.62平米,普通装修,中层/18层,东北,122092元/平米,1900,精装4+1房、带阳台、其他的同户型都没有阳台，
中海西岸华府南区,5室2厅,134.64平米,精装修,中层/17层,北,35651元/平米,480,松岗11号线地铁旁精致五房客厅出阳台低市场价
桃源居十二区,3室2厅,114平米,精装修,中层/9层,北,42105元/平米,480,花园中间大三房，位置安静，业主40万精心装修
万科天誉花园一期,4室2厅,152.96平米,精装修,低层/32层,西南,52301元/平米,800,想让您的小孩读龙岗中芯城的实验学校吗？可以选择这里
旭飞花园,1室1厅,36.19平米,普通装修,中层/9层,西,58027元/平米,210,可改二房 园岭实验小学未用 满五I年
星河丹堤,2室2厅,93.97平米,毛坯,低层/29层,南,67575元/平米,635,超性价比小户型一手业主免个税业主诚心出售
星河丹堤,2室2厅,87.16平米,普通装修,低层/32层,南,78017元/平米,680,安静朝南看山景2房 近日必走！
泰华阳光海,4室2厅,115.02平米,精装修,高层/25层,西南,71292元/平米,820,户型方正 满5年 少个税  使用面积大 居住舒适 
富源花园,2室2厅,82.74平米,精装修,低层/7层,西南,44718元/平米,370,500米翻身站， 朝东看花园 83平精装大两房！
又一村花园,2室1厅,56.06平米,精装修,低层/9层,北,37460元/平米,210,2房1厅56.06平精装装修北
大世纪水山缘,2室2厅,67.27平米,普通装修,低层/11层,南,39393元/平米,265,一手业主 朝南大两房 赠送大台平
万科天誉,3室2厅,89.74平米,普通装修,高层/50层,东北,45465元/平米,408,高楼层视野超好，采光通风好，满两年，看房方便
侨城豪苑一期,2室2厅,77.52平米,精装修,中层/26层,南,68111元/平米,528,朝花园 南向2室出售 满五年 税费少 有钥匙随时看
淘金山,4室2厅,149.09平米,精装修,低层/32层,东南,63720元/平米,950,湖边上可以长大的房子
卓弘高尔夫雅苑,3室2厅,120.84平米,精装修,中层/31层,南,43032元/平米,520,豪装3房2厅121平米，赠送面积大，户型方正实用。
新港鸿,2室2厅,96.79平米,精装修,低层/28层,东,51658元/平米,500,东南向可改3房 红本免个税 豪装房子空置
招商依山郡三期,2室2厅,73.95平米,精装修,低层/18层,南,44625元/平米,330,居家两房 业主诚售
城投七里香榭,3室2厅,98平米,精装修,高层/18层,南,55102元/平米,540,3房2厅98平豪华装修南
龙岗大道1号,2室2厅,68.5平米,精装修,低层/41层,南,54015元/平米,370,精装两房，业主诚意出售，木棉湾地铁站无缝对接
中海西岸华府北区,2室2厅,84.12平米,精装修,中层/17层,东北,38041元/平米,320,红本在手精装两房    中间楼层税费少
龙珠花园(龙岗),2室2厅,89.32平米,普通装修,中层/29层,北,32468元/平米,290,精致装修 2室2厅1厨1卫
8克拉,1室0厅,36.28平米,普通装修,高层/8层,南,19294元/平米,70,坪山行政服务大厅后面公寓大单间 视野开阔通透性好
龙珠花园(龙岗),3室2厅,100.03平米,精装修,低层/29层,北,32990元/平米,330,低首付精装3房清爽装修拎包入住满5年
德意名居,1室1厅,41.57平米,精装修,中层/5层,南,57734元/平米,240,居家风格大单间 朝南 看小区泳池 业主换房诚心出售
金众蓝钻,1室2厅,48.79平米,精装修,中层/11层,东南,27875元/平米,136,金众蓝钻精装修一房二厅
雅福居,4室2厅,143平米,毛坯,高层/11层,南,117483元/平米,1680,上下两层复式 实用180平米 3个阳台 随时看房
怡都大厦,2室1厅,68.5平米,精装修,高层/21层,南,32847元/平米,225,罗湖关口，户型方正，可以看香港风景，高层
招商澜园,3室2厅,89平米,普通装修,中层/23层,南,39326元/平米,350,真实房源 岁末福利  低于市场80万    捡漏
中城康桥花园一期,4室2厅,128平米,普通装修,高层/11层,南,35156元/平米,450,电梯高层3房 满5 朝正南看花园 双阳台
麓园,3室2厅,89平米,普通装修,低层/34层,南,38202元/平米,340,精装大三房 厅出阳台 采光明亮 视野开阔 安静舒适
公园大地五期,2室2厅,78.49平米,精装修,中层/18层,东南,48159元/平米,378,龙岗 豪装两房 79平 景观好
海月花园二期,4室2厅,167.73平米,精装修,高层/24层,东南,88237元/平米,1480,精装大4房  南北通透   高楼层  视野开阔
知春里,3室2厅,85.32平米,普通装修,中层/11层,东南,38092元/平米,325,3号线大芬站旁实用大3房，全屋朝南，户型超好税费少
锦洲花园,3室2厅,95.16平米,普通装修,高层/7层,南,56747元/平米,540,精装实用大户诚售
承翰陶源花园,5室2厅,142.56平米,毛坯,中层/33层,西南,30163元/平米,430,毛坯大5房 南北通透 使用率175平米 
天海花园,3室2厅,91.3平米,精装修,高层/7层,南,88719元/平米,810,南北通3房 南二外中学 实用率高 红本在手看房方便
皇达东方雅苑,2室2厅,78平米,普通装修,低层/31层,南,79487元/平米,620,精装修，大两房，大阳台，户型方正，双地铁，车位充足
碧湖玫瑰园,3室2厅,121平米,精装修,高层/7层,南,28099元/平米,340,业主住家装修，小区中间，龙城学校，看房方便 诚心售
富通御岭公馆,3室2厅,82.27平米,精装修,中层/29层,东北,34034元/平米,280,松岗CBD地段居山大盘以园林为主题打造的产品
茂宝大厦,3室2厅,97.73平米,普通装修,高层/15层,南,27116元/平米,265,双地铁物业 精装三房 南北通透 诚心售房 看房方便
天籁别墅,5室2厅,260.29平米,毛坯,高层/1层,南,61470元/平米,1600,上下四层，端头别墅，实用800平，可眺望高尔夫景观
南威花园,3室2厅,87.81平米,普通装修,中层/7层,北,31887元/平米,280,精装大三房户型方正中间楼层使用面积大
倚山花园三期,2室2厅,78.03平米,毛坯,低层/31层,西南,49981元/平米,390,双阳台  舒适大三房  毛坯房  业主诚心放售
承翰陶源花园,2室1厅,60.66平米,毛坯,中层/32层,东南,28025元/平米,170,经典两房两卫、只要190万、超乎你的想象！
山海韵,3室2厅,120.49平米,精装修,高层/29层,东北,78845元/平米,950,南山脚下 看花园 一手业主 安静不吵
城领尚,1室2厅,51.68平米,精装修,低层/30层,西,59985元/平米,310,精装，无卖，新房，急卖
风格名苑,1室0厅,31.03平米,精装修,低层/27层,西,58008元/平米,180,（笋）蔡屋围 精装住宅180万看房方便 桂圆中学
桂芳园四期,2室2厅,63平米,普通装修,高层/11层,西北,40952元/平米,258,精装实用两房 满五红本 大芬站交通便利 沃尔玛旁
山语海花园,2室2厅,79.64平米,毛坯,高层/16层,南,84129元/平米,670,诚心出售 标准两房  低密度高档住宅 看房方便
桃源居四区,3室2厅,122.17平米,精装修,中层/5层,东南,45019元/平米,550,精装大三房 满五年税少 位置安静 东南 业主急售
悦城花园,4室2厅,141.88平米,精装修,高层/27层,南北,37074元/平米,526,精装大4房，高楼层，无遮挡
鸿翔花园,2室2厅,74.85平米,精装修,高层/33层,西北,71476元/平米,535,高楼层 半精装修 住家温馨
尊寓大厦,1室1厅,39.87平米,精装修,低层/33层,南,57687元/平米,230,精装一房一厅户型方正厅出阳台中层朝南采光好
德润荣君府,1室0厅,30.09平米,精装修,低层/33层,南,49850元/平米,150,地铁5号线，坂田 70年产权酒店式公寓
承翰海语山林,3室2厅,88.76平米,精装修,中层/16层,东,32672元/平米,290,成熟小区，居住配套齐全
阳光广场,2室2厅,64.28平米,精装修,中层/9层,西北,32670元/平米,210,傲视全城南北通透采光好出阳台业主急售
金域蓝湾二期,4室2厅,149.1平米,精装修,中层/34层,南,73776元/平米,1100,万科高档楼盘 泰式园林 南向海景四房 视野开阔
融湖城,5室2厅,146.3平米,毛坯,低层/30层,南,38824元/平米,568,融湖世纪花园南北通毛坯大五房满二年看房方便
鸿荣源尚峰,5室2厅,114.3平米,毛坯,中层/32层,西南,59055元/平米,675,深圳业主2015年买的房，亏本急售降价50万
振业天峦,3室2厅,87.59平米,精装修,低层/30层,南,31967元/平米,280,居家三房 精装修 看房方便
可园四期,5室2厅,171.79平米,精装修,高层/18层,南,45986元/平米,790,精装4+1房复式满五年才卖790万元实收 看房方便
星河丹堤,5室2厅,270.02平米,普通装修,低层/28层,南,84438元/平米,2280,带装修  东南朝向  270平米大复式
壹方玖誉,3室2厅,101平米,毛坯,高层/40层,东南,129703元/平米,1310,宝中豪宅 高层靓景，身份地位像征 有匙即看
承翰陶源花园,3室2厅,83平米,精装修,中层/33层,东南,39157元/平米,325,三房两厅两卫 东南朝向 自住装修
华浩源四期,3室2厅,73.48平米,精装修,低层/20层,南,46952元/平米,345,朝南3房客厅带阳台 精装 满5年 住家安静
百合星城(二期),4室2厅,96平米,精装修,低层/9层,南,44792元/平米,430,布吉关口百外旁，品质大盘高档住宅花园小区，欧式风格
龙珠花园(龙岗),3室2厅,89.32平米,精装修,低层/29层,南,32468元/平米,290,布吉有罗湖后花园之称
绿海湾花园,4室2厅,137.4平米,精装修,中层/30层,南,131004元/平米,1800, 正规大四房，满五，红本手急卖1800万
苹果园,1室1厅,43.14平米,精装修,中层/16层,北,44043元/平米,190,一房一厅，楼层好，看花园，位置安静舒适
中海西岸华府北区,5室2厅,159.88平米,毛坯,高层/33层,南,35026元/平米,560,全新毛坯五房 怎么装修你说了算 看上价格可以再谈
海岸卡夫诺,2室2厅,77平米,精装修,低层/32层,东北,44156元/平米,340,海岸卡夫诺 不限购不限贷 精装2房 商住两用
桃源居十一区,4室2厅,110.23平米,精装修,低层/17层,南,56246元/平米,620,精装大4房 南北通透 户型方正 位置安静 看房预约
丽湖花园,2室2厅,53.11平米,普通装修,高层/8层,南,37281元/平米,198,大社区，装修保养好，南向，总价低
万科四季花城三期,8室4厅,158.76平米,精装修,高层/3层,南,78735元/平米,1250,洋房三四楼 位置安静 带露天平台
帝景峰,2室2厅,78.37平米,精装修,高层/35层,南,35090元/平米,275,布吉大芬站，二房二厅精装修，户型方正，看房方便！
桃源居五区,2室2厅,78.72平米,普通装修,低层/5层,东北,45732元/平米,360,普通装修的2房2厅1卫  户型方正  采光好   
星海名城三期,2室2厅,71.99平米,普通装修,低层/28层,西,80567元/平米,580,户型通透特殊户型可改3房另赠送3个阳台
桃源居十二区,3室2厅,116平米,普通装修,中层/8层,南北,43103元/平米,500,十二区精装大三房户型方正中间楼层
新银座华庭,2室1厅,55.84平米,精装修,中层/31层,南,57307元/平米,320,朝南，两房，客厅出阳台，带飘窗，罗湖口岸
万象天成,2室2厅,71.42平米,普通装修,中层/26层,南,32204元/平米,230,龙岗城写字楼环绕紧邻龙城广场地铁站
桂芳园六期,3室2厅,89.9平米,精装修,高层/18层,东北,49166元/平米,442,满3年少税！豪装高层朝东北看花园安静！可拎包入住！
万科翰邻城,5室2厅,158.12平米,精装修,低层/32层,南北,47432元/平米,750,满2年 深中学校 户型靓
天俊时代,3室2厅,87平米,普通装修,高层/26层,西北,43678元/平米,380,东门商圈， 国贸出口，04年新房， 看房有钥匙
黄木岗北区,3室2厅,77.11平米,普通装修,中层/7层,南北,72624元/平米,560,笔架山脚下的多层住宅  改造在即
桃源居十四区,3室2厅,106.56平米,普通装修,中层/8层,南,46922元/平米,500,温馨大三房，红木地板装修，采光通透，安静舒适
金众云山栖,2室2厅,61.17平米,精装修,高层/33层,东南,38418元/平米,235,此房家里东西全部赠送，拎包入住诚心卖，改3房了高层
承翰陶源花园,3室2厅,88.55平米,精装修,高层/31层,东南,32411元/平米,287,精装三房 户型方正 
东乐花园,3室3厅,86.2平米,普通装修,低层/7层,南,58005元/平米,500,精装修三房通风采光好
宏发嘉域,3室2厅,87.75平米,毛坯,中层/31层,东南,41026元/平米,360,中间楼层，独立入户三房，东南向
桃源居三区,3室2厅,84.63平米,精装修,低层/9层,北,50219元/平米,425,出小区就是桃源居正大门 地铁旁 学校后门
城市花园一期(龙岗),4室2厅,110.97平米,精装修,低层/6层,南,33162元/平米,368,清林、龙城双学校可用，双龙抱珠户型，业主诚心出售。
万科东方尊峪,5室2厅,181.2平米,精装修,低层/24层,南北,60706元/平米,1100,畔山豪宅，大五房！精装修！南北通透！
坪山首座,1室1厅,45.58平米,精装修,高层/18层,西北,28521元/平米,130,坪山14号地铁70年产权精装一房一厅，连接坪盐快速
龙珠花园(龙岗),3室2厅,107.73平米,普通装修,高层/29层,西,36016元/平米,388,精装三房两卫南北通透，高楼层视野好，满五唯1无税
8克拉,1室0厅,36.28平米,普通装修,中层/8层,南,17916元/平米,65,小户型 总价低 可落户 有钥匙 看房方便
金众蓝钻,1室1厅,43.51平米,精装修,高层/11层,东,28729元/平米,125,金众蓝钻读宝龙外语学校坪山高铁站旁大花园小区
龙园山庄,3室2厅,79.19平米,精装修,高层/8层,南,37631元/平米,298,精致小仨儿房 放心养俩娃 298万 南北通户型正
青青山庄,7室3厅,380平米,精装修,共3层,南北,184211元/平米,7000,前海独栋别墅 尊享4A景区 330平
中电信息大厦,2室0厅,45.6平米,普通装修,中层/30层,东南,37061元/平米,169,精装2房东南向户型大气安静高楼层景观
熙园山院,5室2厅,153.77平米,精装修,高层/31层,东南,109254元/平米,1680,靠山高层 豪装4房 阔景雅宅 南北通透 位置安静
金山碧海,3室2厅,85平米,毛坯,低层/30层,东,48235元/平米,410,纯复式小区（万科物业）看山海景观
福德花园,3室2厅,95.35平米,精装修,中层/32层,西,47195元/平米,450,螺岭小学 满两年3房2厅 带双阳台 业主诚意出售 
皇御苑二期,2室2厅,63.96平米,普通装修,高层/32层,南,69575元/平米,445,南向高层，新设计的住家单位，阳光充足
万科天誉,3室2厅,89.5平米,精装修,低层/50层,东北,48045元/平米,430,媲美万象城 吃喝玩乐一站式 幼儿园及九年制公立学校
万科清林径,4室2厅,147.01平米,精装修,中层/30层,南,34692元/平米,510,全新精装修 大4房 南北通透
福永花苑,2室2厅,62平米,普通装修,低层/8层,北,38710元/平米,240, 标准两房 满5唯1 刚需必备 业主诚心出售
桃源居四区,3室2厅,99.6平米,普通装修,中层/6层,南北,51205元/平米,510,满五税费少 朝正南精装修3 保养非常好 安静舒适 
海洋之心,2室2厅,62平米,普通装修,中层/32层,西,110484元/平米,685,南二外两房 总价低的一套【学 位】可用 自住
鹏盛村,1室0厅,31.48平米,普通装修,中层/8层,北,50826元/平米,160,业主诚心出售面积小总价低
中航天逸,3室2厅,88.7平米,精装修,低层/36层,东南,74408元/平米,660,深圳北红山地铁交通购物便利楼层好朝向佳看花园诚心卖
万科城M区,3室2厅,123.18平米,精装修,低层/31层,南,50333元/平米,620,观景大三房，安静舒适带固定车位，诚心卖，价格可谈
云海天城世家,3室2厅,98.57平米,普通装修,低层/34层,南,61885元/平米,610, 北师大附小南二外30平花园 近海岸城 腾名额急售
云海天城世家,2室1厅,75.94平米,精装修,中层/34层,西,72426元/平米,550,精装2房看花园安静
信和自由广场,2室1厅,62平米,普通装修,高层/24层,东,82258元/平米,510,花园社区 满五红本 南向看小区 正规两房厅出阳台
中爱花园,1室1厅,48.77平米,普通装修,低层/15层,西南,66639元/平米,325,诚心出售1房有钥匙红本无税
绿景山庄,3室2厅,101.97平米,普通装修,高层/8层,北,38247元/平米,390,红本在手居家3房，看房有钥匙，无税厅出阳台
天越翔园,1室1厅,45平米,精装修,高层/20层,南,63556元/平米,286,罗湖外国语，高层朝南小两房，费用少过户快
澎柏白金时代,3室1厅,43.36平米,普通装修,低层/15层,南,80720元/平米,350,白金时代【地 铁 口】精装三房随时看房
信义嘉御山,3室2厅,84平米,毛坯,中层/17层,南,62500元/平米,525,正南向 价格可谈 看中庭安静 税费低 有钥匙诚心卖
万科东方尊峪,5室2厅,181.83平米,精装修,中层/26层,西南,74245元/平米,1350,三台地！高层！俯视大小群山！大五房，可改六房！
万科天誉,3室2厅,87平米,精装修,低层/40层,北,52874元/平米,460,龙岗地铁3号线双地铁/口 精装修3房连接 3馆1城
振业天峦,2室2厅,88.99平米,精装修,低层/33层,南,31464元/平米,280,2+1房户型实用，朝南看山景，住家安静，诚心出售！
大世纪水山缘,2室2厅,67.53平米,精装修,高层/11层,南北,42352元/平米,286,2房2厅 68平 精装修 南北通透住家舒适！！
四海公寓,1室0厅,36平米,精装修,中层/33层,西,77778元/平米,280,精致装修一房红本在手满五年税费少高层景观好
华联城市山林花园一期,2室2厅,79.87平米,精装修,低层/19层,南,86140元/平米,688,精装2房2厅1卫 满五 临近自贸区 安静看花园
城领丽,4室2厅,89.25平米,毛坯,中层/31层,南,57143元/平米,510,前海辐射区 看整个花园 双龙抱珠 三个房间都朝南
尚景华园三期,4室2厅,135.1平米,精装修,低层/11层,东南,40711元/平米,550,地铁旁4房2卫南北通透满两税费少 学 位房看房方便
鼎太风华二期,4室2厅,129.06平米,精装修,高层/11层,南,96854元/平米,1250,前海自贸区鼎太风华二期，南山实验小学，南海中学
中粮幸福花园,2室1厅,43.57平米,精装修,中层/27层,西南,73445元/平米,320,小两房朝南，12号地 铁流塘站（已经开工）500米
御河堤,1室1厅,43.69平米,精装修,高层/33层,东,66377元/平米,290,一房一厅买房送全屋家私家电
承翰陶源花园,3室2厅,88.55平米,毛坯,中层/31层,东南,33427元/平米,296,朝南看花园泳池，户型方正，价格低
桃源居三区,1室2厅,57.13平米,精装修,中层/9层,西南,47261元/平米,270,精装修的1房2厅1卫  理想过渡房  临近学校
尚都,2室2厅,85.31平米,精装修,高层/27层,西北,75021元/平米,640,大两房高楼层采光景观好满两年业主诚心出售
龙岗大道1号,3室2厅,99.31平米,精装修,低层/41层,西北,43802元/平米,435,木棉湾站 无鏠接驳 精装修 满五年住宅 南北通透
世金汉宫,2室1厅,51.4平米,精装修,中层/23层,北,48638元/平米,250,万象城商圈，繁华地段
中信二期,5室2厅,145.86平米,精装修,高层/30层,南北,56561元/平米,825,单证大宅，高层满2年税少南北通透，业主诚售
金域豪庭二期,2室2厅,76.38平米,普通装修,高层/13层,南,50799元/平米,388,满五年没有费用 业主另外置业 价格可谈欢迎咨询
东部阳光花园,3室2厅,88.29平米,普通装修,低层/12层,东南,45305元/平米,400,花园小区，方正3房2厅，地鐵口物业
缤纷时代家园,3室2厅,95.75平米,普通装修,高层/33层,南,64752元/平米,620,朝正南三房二卫 花园小区 螺岭小学未用 
星河丹堤,4室2厅,160.43平米,精装修,低层/29层,东北,81032元/平米,1300,双地铁 电梯 精装 配套全齐 看房方便 停车方便
万托家园,2室2厅,65.32平米,精装修,中层/31层,北,72719元/平米,475,荔园外国语小学 精装2房
鼎胜名园,3室2厅,88.9平米,精装修,高层/31层,南,89989元/平米,800,留仙洞总部基地旁 次新房 精装三房 自住 诚售
香丽大厦,4室1厅,106.61平米,精装修,中层/32层,南,55623元/平米,593,一路之隔香蜜湖全南四房近双地铁税费低
万科东方尊峪,3室2厅,122.63平米,普通装修,低层/24层,西北,61160元/平米,750,三台地三房，阳台看游泳池花园，南北通透，关口物业
振业天峦,3室2厅,89.25平米,精装修,中层/33层,南,34174元/平米,305,中等装修3房出售，满两年，中间楼层，看房方便
桃源居三区,6室2厅,107.21平米,精装修,高层/6层,西北,52234元/平米,560,刚出炉双层复式 精致6房 位置安静 满5年 有学校
风临左岸,3室2厅,92平米,普通装修,高层/18层,南,125000元/平米,1150,深高初中近社区花园 高层景观好 儿童公园旁
龙珠花园(龙岗),2室2厅,72.79平米,普通装修,中层/29层,东北,36131元/平米,263,温馨两房出售，精装修，户型方正格局好
万科红一二期,3室2厅,67.94平米,普通装修,中层/31层,南,58581元/平米,398,万科品牌物业，社区好，交通方便
绿海名都,2室2厅,73.8平米,精装修,高层/17层,北,74526元/平米,550,精装2房2厅1卫户型方正满两年近地铁有钥匙
湖滨花园(南山区),4室2厅,169.79平米,精装修,中层/28层,南北,100124元/平米,1700,稀有南北通透四房，多年难得一遇业主诚心放 机不可失
宇宏健康花城,3室2厅,89平米,精装修,低层/33层,西,50562元/平米,450,优质3房 业主急售 看房方便
松茂御龙湾,3室2厅,88.15平米,精装修,低层/31层,西南,73738元/平米,650,业主诚意出售89平米3房2卫 满两年 随时看房
桂芳园五期,2室2厅,69.9平米,精装修,中层/11层,北,45780元/平米,320,户型大气，看花园景色，视野开阔，装修清爽，无税
麓园,3室2厅,89平米,毛坯,高层/34层,南,35955元/平米,320,大三房南北通透读学中学校
长丰苑,2室2厅,77.59平米,普通装修,中层/30层,东北,40598元/平米,315,万家楼上 户型好 可改三房 带阳台 配套齐全
城市印象家园,3室2厅,115平米,精装修,中层/22层,东,79130元/平米,910,拎包入住日式装修满五税费少中间楼层114平
万科清林径,6室3厅,228.3平米,毛坯,高层/1层,南,61323元/平米,1400,带前后大花园端头别墅，安静 高赠送 看房随时方便
万科天誉花园一期,4室2厅,153.15平米,毛坯,低层/32层,东南,45707元/平米,700,中.心城 南北通 看花园诚心出售 看房方便
信义御城,3室2厅,88.07平米,精装修,高层/28层,西北,44283元/平米,390,横岗地铁站 横厅户型 采光通风好 看房方便 
桃源居十二区,2室2厅,56.49平米,普通装修,高层/8层,南,43902元/平米,248,普通装修2房2厅1厨1卫  满2年  红本在手  
金地梅陇镇,2室2厅,76.82平米,精装修,中层/25层,南,50768元/平米,390,精装朝南大两房，大阳台，赠送面积多
龙园山庄,2室2厅,62.79平米,普通装修,低层/9层,北,38223元/平米,240,繁华都市的后花园 安静 居家选择 费用低
可园一期,2室2厅,69.88平米,精装修,低层/16层,西北,51517元/平米,360,2+1房 送入户花园和空中花园 满二年 税少 
福盈山,3室2厅,87.18平米,毛坯,中层/30层,南,45653元/平米,398,小区中间位置 此房是业主深圳仅有的一套住宅，满两年
滨海之窗花园,3室2厅,106平米,精装修,中层/33层,东北,122642元/平米,1300,南山二外学 WEI 高层景观通透三房业主诚售
上河坊,1室1厅,38.65平米,精装修,高层/22层,南,69858元/平米,270,小户型学-区房，租客住，月租金4500元/月
龙岗大道1号,2室2厅,68平米,精装修,中层/41层,南,54412元/平米,370,诚心出售精装2房 户型方正朝南 采光好 适宜住家
港城华庭,4室2厅,93.65平米,精装修,低层/33层,东南,64068元/平米,600,4房2厅 93.65平 全新靓装修 东南 看房钥匙
联投东方,3室2厅,80平米,普通装修,中层/32层,东南,46250元/平米,370,东南朝向三房，满两年，高楼层，看房方便
龙电花园B区,3室2厅,93.27平米,精装修,高层/7层,南,75051元/平米,700,带停车位育才三小二中地铁9号12号在建中
倚山花园三期,2室2厅,80.04平米,毛坯,低层/32层,东北,46227元/平米,370,2房2厅81平毛坯南
金海岸大厦,1室1厅,43.09平米,普通装修,高层/30层,南,71942元/平米,310,一手业主急售 红本在手 有钥匙看房随时  品质小区
联美新天地华府,3室2厅,89.48平米,毛坯,高层/24层,西南,46379元/平米,415,精装修大三房，满两年，交通便利
龙岗大道1号,3室2厅,99.31平米,精装修,高层/41层,南,52361元/平米,520, 精装装修 朝南三房 满五年 税少木棉湾地铁旁
皇御苑四期,2室1厅,59.46平米,精装修,低层/32层,东,62227元/平米,370,两房子60平，业主有心卖，看房子有钥匙
东城上邸,4室2厅,87.7平米,精装修,高层/31层,东南,42759元/平米,375,复式四房两厅三卫。随时看房，价格可谈。
融湖城,4室2厅,139平米,毛坯,高层/30层,西北,39568元/平米,550,南北通透 原始毛坯房 满两年红本在手 高楼层
